id,climate,energy,environment,durability
LCOMU2706,0,0,0,0
LCOMU2708,0,0,0,0
LCOMU2811,0,0,0,0
LCOMU2810,0,0,0,0
LCOMU2812,0,0,0,0
LCOMU2813,0,0,0,0
LCOMU2900A,0,0,0,0
LCOMU2900B,0,0,0,0
LCOMU2901,0,0,0,0
LCOMU2904A,0,0,0,0
LCOMU2902,0,0,0,0
LCOMU2910,0,0,0,0
LCOMU2904B,0,0,0,0
LCOPS1113,0,0,0,0
LCOMU2920,0,0,0,0
LCOPS1114,0,0,0,0
LCOPS1115,0,0,0,0
LCOPS1124,0,0,0,0
LCOPS1125,0,0,0,0
LCOPS1211,0,0,0,0
LCOPS1212,0,0,0,0
LCOPS1211M,0,0,0,0
LCOPS1311,0,0,0,0
LCPFB3100,0,0,0,0
LCPI3000,0,0,0,0
LCPI3010B,0,0,0,0
LCPI3010A,0,0,0,0
LCPI3010C,0,0,0,0
LCPI3011A,0,0,0,0
LCPI3013A,0,0,0,0
LCPI3013B,0,0,0,0
LCPI3013C,0,0,0,0
LCPI9001,0,0,0,0
LCPI9100,0,0,0,0
LCPI9102,0,0,0,0
LCPI9101,0,0,0,0
LCPI9200,0,0,0,0
LCPI9201,0,0,0,0
LCPI9203,0,0,0,0
LCPI9202,0,0,0,0
LCPME2000,0,0,0,0
LCPI9204,0,0,0,0
LCPME2001,0,0,0,0
LCPME2003,0,0,0,0
LCPME2002,0,0,0,0
LCPME2004,0,0,0,0
LCPME2005,0,0,0,0
LCRIM2101,0,0,0,0
LCRIM2103,0,0,0,0
LCRIM2104,0,0,0,0
LCRIM2105,0,0,0,0
LCRIM2106,0,0,0,0
LCRIM2107,0,0,0,0
LCRIM2108,0,0,0,0
LCRIM2109,0,0,0,0
LCRIM2110,0,0,0,0
LCRIM2111,0,0,0,0
LCRIM2112,0,0,0,0
LCRIM2113,0,0,0,0
LCRIM2200,0,0,0,0
LCRIM2221,0,0,0,0
LCRIM2222,0,0,0,0
LCRIM2301,0,0,0,0
LCRIM2304,0,0,0,0
LCRIM2302,0,0,0,0
LCRIM2503,0,0,0,0
LDATA2010,0,0,0,0
LDATE2990,0,0,0,0
LDATS2310,0,0,0,0
LDATI2990,0,0,0,0
LDATS2350,0,0,0,0
LDATS2360,0,0,0,0
LDATS2370,0,0,0,0
LDATS2840,0,0,0,0
LDEMO2130,0,0,0,0
LDEMO2400,0,0,0,0
LDEMO2401,0,0,0,0
LDEMO2403,0,0,0,0
LDEMO2404,0,0,0,0
LDEMO2610,0,0,0,0
LDEMO2620,0,0,0,0
LDEMO2630,0,0,0,0
LDEMO2640,0,0,0,0
LDEMO2650,0,0,0,0
LDESF2202,0,0,0,0
LDREU2201,0,0,0,0
LDREU2202,0,0,0,0
LDREU2203,0,0,0,0
LDREU2205,0,0,0,0
LDREU2206,0,0,0,0
LDREU2207,0,0,0,0
LDREU2208,0,0,0,0
LDREU2209,0,0,0,0
LDREU2211,0,0,0,0
LDRHD2100,0,0,0,0
LDRHD2101,0,0,0,0
LDRHD2102,0,0,0,0
LDRHD2103,0,0,0,0
LDRHD2104,0,0,0,0
LDRHD2105,0,0,0,0
LDRHD2107,0,0,0,0
LDRHD2106,0,0,0,0
LDRHD2200,0,0,0,0
LDRHD2202,0,0,0,0
LDRHD2201,0,0,0,0
LDRHD2203,0,0,0,0
LDRHD2204,0,0,0,0
LDRHD2205,0,0,0,0
LDRHD2206,0,0,0,0
LDRHO3406,0,0,0,0
LDRHO3406M,0,0,0,0
LDRIN2001,0,0,0,0
LDRIN2002,0,0,0,0
LDROI1001A,0,0,0,0
LDRIN2200,0,0,0,0
LDROI1001B,0,0,0,0
LDROI1002A,0,0,0,0
LDROI1002T,0,0,0,0
LDROI1002B,0,0,0,0
LDROI1003,0,0,0,0
LDROI1004,0,0,0,0
LDROI1005,0,0,0,0
LDROI1006,0,0,0,0
LDROI1007,0,0,0,0
LDROI1008,0,0,0,0
LDROI1008L,0,0,0,0
LDROI1220,0,0,0,0
LDROI1051,0,0,0,0
LDROI1221,0,0,0,0
LDROI1222,0,0,0,0
LDROI1223,0,0,0,0
LDROI1225,0,0,0,0
LDROI1224,0,0,0,0
LDROI1226,0,0,0,0
LDROI1281,0,0,0,0
LDROI1282,0,0,0,0
LDROI1283,0,0,0,0
LDROI1301,0,0,0,0
LDROI1302,0,0,0,0
LDROI1303,0,0,0,0
LDROI1304,0,0,0,0
LDROI1305,0,0,0,0
LDROI1306,0,0,0,0
LDROI1307,0,0,0,0
LDROI1309,0,0,0,0
LDROI1308,0,0,0,0
LDROI1310,0,0,0,0
LDROI1500,0,0,0,0
LDROI1311,0,0,0,0
LDROI1503,0,0,0,0
