code,shift_score,shiftpatterns,class,teachers,climate_score,climate_patterns,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
IMMU0524-1,0.0,{},103,"['Andy\xa0Chevigné', 'Laurence\xa0Delacroix', 'Nathalie\xa0Jacobs']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MECA0028-1,0.0,{},104,['Ludovic\xa0Noels'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHAR2222-1,0.0,{},105,"['Corinne\xa0Charlier', 'Julien\xa0Hanson']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AERO0001-1,0.0,{},106,"['Thomas\xa0Andrianne', 'Vincent\xa0Terrapon']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AERO0014-1,0.0,{},107,['Koen\xa0Hillewaert'],0.0,{},0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AERO0032-1,0.9582675469520638,"{""solaire helios clairement"": 1, ""solaire helios"": 1, ""solaire"": 1, ""eoliennes cables haute"": 1, ""eoliennes cables"": 1, ""eoliennes"": 1}",108,"['Thomas\xa0Andrianne', 'Grigorios\xa0Dimitriadis']",0.0,{},0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NEUR2044-1,0.0,{},109,"['Julie\xa0Bakker', 'Charlotte\xa0Cornil', 'Rachelle\xa0Franzen', 'Anne-Simone\xa0Parent']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUTR1004-1,0.0,{},110,"['Joëlle\xa0Collignon', 'Jean\xa0Delwaide', 'Guy\xa0Jerusalem', 'Edouard\xa0Louis', 'Nicolas\xa0Paquot', 'Catherine\xa0Reenaers']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PHAR2221-1,0.0,{},111,"['Raphaël\xa0Denooz', 'Julien\xa0Hanson']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCER2141-1,0.0,{},112,['Frédéric\xa0Ooms'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRO0016-1,0.08228661590158459,"{""transition energetique secteur"": 1, ""transition energetique"": 1}",113,"['Frédéric\xa0Lebeau', 'Manfred\xa0Greger']",0.0,{},0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
NUTR1003-1,0.0,{},114,"['Georges\xa0Daube', 'Véronique\xa0Delcenserie', 'Olivier\xa0Peulen', 'Souad\xa0Rahmouni', 'Marie-Louise\xa0Scippo', 'Bernard\xa0Taminiau']",0.0,{},0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SPOL2309-1,0.0,{},115,['Bob\xa0Kabamba'],0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SBIM2008-1,0.0,{},116,"['Jorge\xa0Arrese\xa0Estrada', 'Denis\xa0Mottet', 'Nor\xa0Eddine\xa0Sounni']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIM0668-1,0.0,{},117,['Dominique\xa0Toye'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIN2029-2,0.0,{},118,"['Dominique\xa0Martin', 'Walid\xa0El\xa0azab', 'Michel\xa0Frederich']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERE0033-1,0.0,{},119,['Frédéric\xa0Lebeau'],0.0,{},0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
HULG0494-1,0.0,{},120,['Laurence\xa0Roudart'],0.0,{},0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AERO0033-1,0.0,{},121,"['Grigorios\xa0Dimitriadis', 'Thierry\xa0Magin']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APRI0004-1,0.0,{},122,"['Grigorios\xa0Dimitriadis', 'Ludovic\xa0Noels']",0.0,{},0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HULG9503-1,0.0,{},123,[''],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HULG9335-1,0.0,{},124,['Marjolein\xa0Visser'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEGE0036-1,0.0,{},125,"['Guy\xa0Mergeai', 'Guy\xa0Mergeai']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENVT0065-1,0.035730786474733045,"{""co2 couvert vegetal"": 1, ""co2 couvert"": 1, ""co2"": 1}",126,['Bernard\xa0Tychon'],0.0,{},0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
